date,open,high,low,close,adj close,volume
2015-07-01,6.2,6.23,6.05,6.08,5.928305,1021000
2015-07-02,6.11,6.21,6.08,6.12,5.967307,796800
2015-07-06,5.98,6.03,5.7,5.73,5.587038,1300400
2015-07-07,5.7,5.7,5.31,5.53,5.392028,2240500
2015-07-08,5.45,5.5,5.25,5.41,5.275022,1707900
2015-07-09,5.53,5.67,5.49,5.51,5.372527,2390300
2015-07-10,5.58,5.66,5.43,5.62,5.479782,1010800
2015-07-13,5.66,5.76,5.58,5.71,5.567537000000001,495100
2015-07-14,5.72,5.91,5.71,5.73,5.587038,773500
2015-07-15,5.71,5.75,5.32,5.39,5.25552,1179700
2015-07-16,5.46,5.47,5.18,5.23,5.099513,1455100
2015-07-17,5.14,5.28,4.99,4.99,4.8655,1272300
2015-07-20,4.99,5.0,4.73,4.86,4.7387440000000005,1625400
2015-07-21,4.81,5.16,4.78,4.98,4.85575,1162800
2015-07-22,4.93,4.93,4.75,4.8,4.6802410000000005,1143800
2015-07-23,4.73,4.86,4.58,4.6,4.485231,2041500
2015-07-24,4.55,4.58,4.35,4.41,4.299971,2495500
2015-07-27,4.36,4.63,4.27,4.55,4.436479,1158200
2015-07-28,4.59,4.67,4.44,4.61,4.494982,1313700
2015-07-29,4.61,4.83,4.59,4.71,4.592487,1645200
2015-07-30,4.7,4.79,4.57,4.61,4.494982,1308400
2015-07-31,4.63,4.77,4.62,4.7,4.582736,1272700
2015-08-03,4.71,4.72,4.4,4.44,4.329223000000001,835100
2015-08-04,4.45,4.53,4.38,4.49,4.377975,1141200
2015-08-05,4.49,4.58,4.28,4.4,4.290221,1657200
2015-08-06,4.34,4.4,4.2,4.33,4.221967,1751400
2015-08-07,4.31,4.45,4.13,4.16,4.056209,892500
2015-08-10,4.16,4.35,4.11,4.34,4.231718,934200
2015-08-11,4.23,4.33,4.18,4.22,4.114711,637800
2015-08-12,4.19,4.19,3.91,4.03,3.929453,2567500
2015-08-13,4.16,4.2,3.9,3.91,3.812446,1937200
2015-08-14,3.96,4.03,3.91,3.95,3.8514480000000004,955100
2015-08-17,3.95,3.97,3.9,3.92,3.822197,1020300
2015-08-18,3.91,3.99,3.87,3.97,3.870949,617400
2015-08-19,3.94,3.96,3.8,3.9,3.802696,849000
2015-08-20,3.86,3.92,3.74,3.87,3.773444,1477100
2015-08-21,3.81,3.9,3.72,3.83,3.734442,1817000
2015-08-24,3.56,3.77,3.12,3.45,3.363923,1897800
2015-08-25,3.62,3.95,3.58,3.6,3.5101809999999998,2120500
2015-08-26,3.66,3.73,3.38,3.7,3.607686,1884300
2015-08-27,3.73,3.91,3.69,3.88,3.7831949999999996,2634500
2015-08-28,3.82,3.99,3.72,3.78,3.68569,1762800
2015-08-31,3.63,3.78,3.56,3.73,3.636937,1774300
2015-09-01,3.57,3.62,3.37,3.38,3.29567,2921400
2015-09-02,3.43,3.47,3.17,3.28,3.198165,3100100
2015-09-03,3.25,3.43,3.25,3.4,3.315171,1292800
2015-09-04,3.43,3.46,3.37,3.42,3.3346720000000003,1106400
2015-09-08,3.52,3.53,3.38,3.4,3.315171,1271600
2015-09-09,3.47,3.61,3.38,3.38,3.29567,862100
2015-09-10,3.29,3.35,3.2,3.29,3.2079150000000003,907100
2015-09-11,3.26,3.35,3.24,3.25,3.1689130000000003,3222200
2015-09-14,3.25,3.41,3.14,3.4,3.315171,1837600
2015-09-15,3.37,3.52,3.32,3.45,3.363923,2182900
2015-09-16,3.52,3.61,3.35,3.46,3.373674,2075100
2015-09-17,3.4,3.52,3.28,3.46,3.373674,2381000
2015-09-18,3.41,3.47,3.32,3.4,3.315171,4913800
2015-09-21,3.38,3.41,3.18,3.19,3.11041,743200
2015-09-22,3.13,3.14,2.97,3.01,2.934901,1579300
2015-09-23,3.02,3.04,2.69,2.75,2.681388,1874200
2015-09-24,2.6,2.96,2.59,2.95,2.876398,2631800
2015-09-25,2.95,3.06,2.84,3.06,2.983654,1782500
2015-09-28,2.93,2.99,2.7,2.78,2.710639,1302500
2015-09-29,2.75,2.83,2.73,2.82,2.7496419999999997,804100
