Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,13.23,13.23,13.1,13.11,11.760947,2900
2015-07-02,13.17,13.26,12.95,12.98,11.644325,2800
2015-07-06,12.95,13.18,12.93,12.97,11.635355,6900
2015-07-07,13.3,13.3,12.91,12.95,11.617412,3600
2015-07-08,12.93,13.01,12.9,12.9,11.572556,4800
2015-07-09,12.85,13.21,12.85,12.97,11.635355,4500
2015-07-10,13.29,13.29,13.0,13.0,11.662265,3100
2015-07-13,13.0,13.22,13.0,13.07,11.725063,3000
2015-07-14,13.0,13.01,12.87,12.99,11.653295,8200
2015-07-15,12.99,12.99,12.93,12.94,11.60844,3300
2015-07-16,12.99,13.14,12.82,13.14,11.78786,8000
2015-07-17,13.18,13.18,12.79,13.0,11.662265,8200
2015-07-20,12.95,12.95,12.78,12.93,11.59947,13700
2015-07-21,12.79,12.93,12.75,12.87,11.545644,6700
2015-07-22,12.85,12.99,12.76,12.94,11.60844,8200
2015-07-23,12.94,12.95,12.63,12.64,11.339311,13400
2015-07-24,12.75,12.9,12.68,12.8,11.482846,26000
2015-07-27,12.75,12.95,12.67,12.9,11.572556,16100
2015-07-28,12.9,13.0,12.86,12.86,11.536672,8900
2015-07-29,12.8,12.99,12.74,12.99,11.653295,17800
2015-07-30,12.86,12.99,12.81,12.93,11.59947,6100
2015-07-31,12.97,12.98,12.89,12.98,11.644325,7500
2015-08-03,12.95,13.03,12.9,12.92,11.590497000000001,7300
2015-08-04,12.96,13.03,12.8,12.83,11.509758999999999,62700
2015-08-05,12.85,12.85,12.63,12.76,11.446962,6300
2015-08-06,12.65,12.75,12.15,12.31,11.043269,11900
2015-08-07,12.5,12.81,12.5,12.8,11.482846,14500
2015-08-10,12.8,12.98,12.38,12.65,11.348282000000001,8400
2015-08-11,12.65,12.65,12.32,12.45,11.168861,11000
2015-08-12,12.39,12.45,12.38,12.43,11.150922,2400
2015-08-13,12.48,12.54,12.46,12.46,11.177833,1000
2015-08-14,12.44,12.45,12.32,12.4,11.124008,10000
2015-08-17,12.5,12.5,12.33,12.44,11.159889999999999,3200
2015-08-18,12.36,12.4,12.36,12.4,11.124008,800
2015-08-19,12.45,12.77,12.35,12.58,11.285485000000001,8300
2015-08-20,12.52,12.73,12.31,12.39,11.115038,8800
2015-08-21,12.31,12.4,12.19,12.19,10.935617,5200
2015-08-24,12.05,12.06,11.9,11.9,10.675458,20200
2015-08-25,12.1,12.29,12.1,12.22,10.962531,3800
2015-08-26,12.41,12.49,11.56,11.56,10.370446000000001,22200
2015-08-27,11.88,12.49,11.6,11.68,10.478097,26500
2015-08-28,11.63,11.88,11.57,11.87,10.759085,9700
2015-08-31,11.92,12.13,11.77,11.97,10.849727,9800
2015-09-01,11.75,11.92,11.69,11.7,10.604996,10100
2015-09-02,11.6,11.87,11.57,11.7,10.604996,7800
2015-09-03,12.08,12.08,11.78,11.99,10.867854,8200
2015-09-04,11.95,12.06,11.7,11.7,10.604996,12000
2015-09-08,11.85,12.0,11.8,11.99,10.867854,5400
2015-09-09,11.87,12.0,11.56,11.9,10.786275999999999,6800
2015-09-10,11.77,11.99,11.77,11.99,10.867854,5000
