date,instrument,open,high,close,low,hold,volume,amount
2017-01-16,SR701,7130.0,7198.0,6890.0,6800.0,0.0,3690.0,261652500.0
2017-01-13,SR701,6887.0,6999.0,6940.0,6860.0,72988.0,2846.0,197487800.0
2017-01-12,SR701,6852.0,6889.0,6876.0,6775.0,74752.0,4162.0,286672700.0
2017-01-11,SR701,6985.0,7012.0,6900.0,6888.0,78246.0,5770.0,400292500.0
2017-01-10,SR701,6988.0,6988.0,6947.0,6945.0,83706.0,7836.0,544803500.0
2017-01-09,SR701,6900.0,7008.0,7002.0,6900.0,89966.0,4010.0,279588600.0
2017-01-06,SR701,6944.0,6999.0,6970.0,6940.0,91402.0,8574.0,598148900.0
2017-01-05,SR701,7069.0,7069.0,6980.0,6980.0,94098.0,5176.0,363491800.0
2017-01-04,SR701,7021.0,7101.0,7065.0,7021.0,95822.0,10292.0,727277200.0
2017-01-03,SR701,7101.0,7105.0,7024.0,7011.0,102410.0,9324.0,656609700.0
2016-12-30,SR701,7102.0,7120.0,7086.0,7072.0,108392.0,21732.0,1542995200.0
2016-12-29,SR701,7022.0,7120.0,7070.0,7016.0,120640.0,32294.0,2288089200.0
2016-12-28,SR701,7018.0,7032.0,7026.0,6983.0,134006.0,11990.0,827635300.0
2016-12-27,SR701,6956.0,7019.0,7002.0,6956.0,141070.0,16014.0,1113945700.0
2016-12-26,SR701,6991.0,7081.0,6983.0,6970.0,146316.0,21302.0,1490838700.0
2016-12-23,SR701,6995.0,6998.0,6997.0,6956.0,154036.0,15854.0,1107425700.0
2016-12-22,SR701,6951.0,6998.0,6990.0,6930.0,158380.0,22668.0,1583496300.0
2016-12-21,SR701,6935.0,6997.0,6969.0,6935.0,163648.0,16656.0,1160613500.0
2016-12-20,SR701,7024.0,7049.0,6942.0,6927.0,167492.0,49822.0,3477235900.0
2016-12-19,SR701,7007.0,7028.0,7005.0,6969.0,190746.0,30750.0,2155530400.0
2016-12-16,SR701,7001.0,7044.0,7035.0,6977.0,204330.0,35242.0,2473874600.0
2016-12-15,SR701,6961.0,7003.0,6992.0,6944.0,209184.0,67054.0,4684497400.0
2016-12-14,SR701,7080.0,7085.0,6957.0,6934.0,218046.0,121268.0,8490166900.0
2016-12-13,SR701,7060.0,7113.0,7076.0,7040.0,245534.0,67508.0,4772927700.0
2016-12-12,SR701,7001.0,7127.0,7073.0,6990.0,259544.0,97834.0,6922538300.0
2016-12-09,SR701,7033.0,7038.0,7021.0,6989.0,257402.0,88762.0,6223631700.0
2016-12-08,SR701,7063.0,7095.0,7049.0,7020.0,276072.0,89162.0,6297868600.0
2016-12-07,SR701,7012.0,7114.0,7054.0,7006.0,297034.0,137348.0,9703542800.0
2016-12-06,SR701,7023.0,7068.0,7005.0,6996.0,311304.0,148700.0,10441306100.0
2016-12-05,SR701,7049.0,7078.0,7037.0,6990.0,326040.0,195926.0,13773586900.0
2016-12-02,SR701,7120.0,7166.0,7057.0,6981.0,339174.0,324134.0,22846295600.0
2016-12-01,SR701,7188.0,7230.0,7135.0,7106.0,370560.0,355442.0,25400224900.0
2016-11-30,SR701,7262.0,7262.0,7180.0,7115.0,403378.0,658348.0,47325235900.0
2016-11-29,SR701,7268.0,7314.0,7270.0,7212.0,421134.0,650280.0,47266651300.0
2016-11-28,SR701,6947.0,7207.0,7207.0,6936.0,483894.0,837196.0,59239538000.0
2016-11-25,SR701,6932.0,6986.0,6952.0,6851.0,475364.0,572982.0,39703872000.0
2016-11-24,SR701,6799.0,6958.0,6923.0,6791.0,511716.0,744688.0,51222462000.0
2016-11-23,SR701,6860.0,6872.0,6799.0,6771.0,477264.0,402792.0,27449639800.0
2016-11-22,SR701,6851.0,6892.0,6865.0,6819.0,483274.0,531918.0,36476783900.0
2016-11-21,SR701,6811.0,6876.0,6841.0,6766.0,496522.0,565282.0,38571201600.0
2016-11-18,SR701,6784.0,6804.0,6797.0,6751.0,494374.0,432380.0,29321282600.0
2016-11-17,SR701,6800.0,6800.0,6779.0,6748.0,505144.0,542892.0,36753992400.0
2016-11-16,SR701,6855.0,6875.0,6818.0,6785.0,501178.0,529734.0,36147730500.0
2016-11-15,SR701,6824.0,6907.0,6852.0,6813.0,527914.0,938596.0,64346549100.0
2016-11-14,SR701,6820.0,6858.0,6829.0,6728.0,565884.0,867816.0,58947034700.0
2016-11-11,SR701,6798.0,6940.0,6823.0,6782.0,621124.0,1017006.0,69631817000.0
2016-11-10,SR701,6784.0,6848.0,6816.0,6775.0,611512.0,676302.0,46099730000.0
2016-11-09,SR701,6788.0,6828.0,6775.0,6760.0,597510.0,581156.0,39455363400.0
2016-11-08,SR701,6790.0,6888.0,6795.0,6780.0,602184.0,788544.0,53930247100.0
2016-11-07,SR701,6768.0,6796.0,6774.0,6743.0,631036.0,454280.0,30768260500.0
2016-11-04,SR701,6818.0,6853.0,6744.0,6740.0,644482.0,492368.0,33493851100.0
2016-11-03,SR701,6751.0,6854.0,6825.0,6733.0,677268.0,720792.0,49000714400.0
2016-11-02,SR701,6743.0,6776.0,6746.0,6702.0,665466.0,583390.0,39342216600.0
2016-11-01,SR701,6752.0,6758.0,6747.0,6692.0,676300.0,598648.0,40292477500.0
2016-10-31,SR701,6800.0,6823.0,6760.0,6750.0,713132.0,604250.0,41054604000.0
2016-10-28,SR701,6865.0,6886.0,6819.0,6786.0,731418.0,806850.0,55123745300.0
2016-10-27,SR701,6886.0,6910.0,6858.0,6851.0,793308.0,508508.0,34982524000.0
2016-10-26,SR701,6896.0,6931.0,6890.0,6828.0,802846.0,746248.0,51280814000.0
2016-10-25,SR701,6890.0,6905.0,6900.0,6859.0,837818.0,588108.0,40467803400.0
2016-10-24,SR701,6716.0,6906.0,6877.0,6710.0,891672.0,1032168.0,70478377100.0
2016-10-21,SR701,6685.0,6724.0,6714.0,6675.0,817422.0,563680.0,37774335700.0
2016-10-20,SR701,6731.0,6747.0,6715.0,6701.0,842246.0,426500.0,28683296100.0
2016-10-19,SR701,6782.0,6797.0,6725.0,6702.0,845758.0,745516.0,50323286000.0
2016-10-18,SR701,6786.0,6804.0,6796.0,6747.0,920428.0,484076.0,32817978500.0
2016-10-17,SR701,6734.0,6814.0,6786.0,6697.0,930538.0,745778.0,50442429500.0
2016-10-14,SR701,6737.0,6749.0,6740.0,6709.0,918480.0,483696.0,32558024100.0
2016-10-13,SR701,6681.0,6767.0,6735.0,6666.0,923006.0,801556.0,53894801400.0
2016-10-12,SR701,6657.0,6714.0,6693.0,6638.0,879586.0,607166.0,40547735900.0
2016-10-11,SR701,6720.0,6730.0,6658.0,6622.0,849774.0,811784.0,54122570000.0
2016-10-10,SR701,6710.0,6732.0,6730.0,6668.0,852080.0,418016.0,27978464700.0
2016-09-30,SR701,6705.0,6723.0,6716.0,6657.0,838088.0,561144.0,37565794400.0
2016-09-29,SR701,6700.0,6765.0,6698.0,6676.0,871530.0,855612.0,57450135200.0
2016-09-28,SR701,6665.0,6721.0,6710.0,6638.0,928844.0,728650.0,48640717000.0
2016-09-27,SR701,6615.0,6695.0,6673.0,6610.0,927438.0,990304.0,65947568500.0
2016-09-26,SR701,6514.0,6625.0,6610.0,6491.0,903528.0,757894.0,49846472200.0
2016-09-23,SR701,6511.0,6523.0,6499.0,6463.0,842812.0,575378.0,37356000900.0
2016-09-22,SR701,6421.0,6528.0,6473.0,6394.0,816448.0,951404.0,61488043800.0
2016-09-21,SR701,6437.0,6488.0,6412.0,6405.0,776340.0,741928.0,47809131000.0
2016-09-20,SR701,6452.0,6464.0,6432.0,6418.0,768828.0,458706.0,29537905200.0
2016-09-19,SR701,6478.0,6480.0,6437.0,6414.0,772320.0,420710.0,27114376700.0
2016-09-14,SR701,6327.0,6330.0,6323.0,6293.0,762442.0,411292.0,25966096200.0
2016-09-13,SR701,6225.0,6336.0,6320.0,6214.0,785020.0,916920.0,57705144900.0
2016-09-12,SR701,6220.0,6250.0,6230.0,6203.0,713302.0,582376.0,36264339000.0
2016-09-09,SR701,6216.0,6240.0,6231.0,6213.0,707200.0,284864.0,17735781200.0
2016-09-08,SR701,6275.0,6280.0,6227.0,6215.0,708060.0,366804.0,22873061100.0
2016-09-07,SR701,6210.0,6265.0,6251.0,6202.0,724918.0,415000.0,25890850200.0
2016-09-06,SR701,6250.0,6261.0,6242.0,6232.0,696400.0,240660.0,15033884800.0
2016-09-05,SR701,6239.0,6268.0,6252.0,6224.0,702812.0,528680.0,33025785100.0
2016-09-02,SR701,6199.0,6211.0,6181.0,6142.0,716344.0,818368.0,50556807500.0
2016-09-01,SR701,6200.0,6246.0,6204.0,6191.0,721400.0,710328.0,44171020000.0
